item_number,description,order_unit,items_per_case,usable_unit,notes
DR034,CHEESE AM SHARP SLICED,4/5 LB,20,lb,
GD690,CHEESE CHD WHTE SLICED,12/1 LB,12,slice,
FM822,"LETTUCE 1"" CHPD FR",4/2 LB,8,slice,
25906,TOMATO RND RED 5x5 XLG,1/20 LB,20,lb,
J2356,DRESSING BLUE CHEESE PCUP,100/1.5,150,lb,
GF662,ICE CREAM MIX SFTSRV VAN,1/5 GAL,112,cup,
HHG72,SOFT SERVE MIX CHOC ESL,2/2.5 GAL,896,oz,
AR296,TOPPING WHIPPED N/DAIRY,12/15 OZ,180,gallon,
99980,PERISHABLE DELIVERY CHG,1/1 CNT,1,oz,
,,,,charge,
